Name|Birth|Death|DeathPlace|Confidence
David Reavis|1840|1920|Battle Creek, Michigan, USA|High
Delia Steinman White|1835|1912|Battle Creek, Michigan, USA|High
Ellen Flayder|1850|1925|Research Needed|Low
Elmina Hutchins|1844|1920|Battle Creek, Michigan, USA|High
Elon Everts|1835|1909|Research Needed|Low
Emily Clemons|1818|1892|Research Needed|Low
Emily Hallock|1840|1915|Research Needed|Low
E.P. Wiles|1835|1910|Battle Creek, Michigan, USA|High
Esther Thorp|1852|1926|Battle Creek, Michigan, USA|High
Fannie Bolton|1853|1934|Battle Creek, Michigan, USA|High
Fanny Bolton|1825|1905|Research Needed|Low
Flora Plummer|1848|1923|Battle Creek, Michigan, USA|High
Frederick Wheeler|1814|1900|Topsham, Maine, USA|High
George A. Irwin|1843|1925|Battle Creek, Michigan, USA|High
George Albert King|1855|1925|Research Needed|Low
George Bourdeau|1835|1910|Battle Creek, Michigan, USA|High
George Starr|1835|1911|Research Needed|Low
George Tenney|1830|1910|Battle Creek, Michigan, USA|High
Gilbert Cranmer|1820|1895|Research Needed|Low
Hannah Henly|1826|1906|Research Needed|Low
Hannah More|0|0|Research Needed|Low
Harrison Grant|0|0|Research Needed|Low
Harriet Burdick|1839|1913|Battle Creek, Michigan, USA|High
Harriet Dickinson|1815|1895|Research Needed|Low
Harriet N. White|1835|1915|Research Needed|Low
Harriet Soles Kimball|1821|1901|Battle Creek, Michigan, USA|High
Harriet Stevens|1842|1917|Battle Creek, Michigan, USA|High
Harvey Edson Rogers|0|0|Research Needed|Low
Hazen Foss|0|0|Research Needed|Low
Heman Stetson Gurney|0|0|Research Needed|Low
Henry Dana Ward|1797|1884|Research Needed|Low
Henry F Phelps|0|0|Research Needed|Low
Henry Fenner|1838|1913|Battle Creek, Michigan, USA|High
Henry Lyon|0|0|Research Needed|Low
Henry Mead|1830|1905|Battle Creek, Michigan, USA|High
Henry Nichols White|1862|1930|Research Needed|Low
Hetty Hurd Haskell|0|0|Research Needed|Low
Hiram Edson|1806|1882|Port Byron, New York, USA|High
Hiram Edson Jr|0|0|Research Needed|Low
H E Robinson|0|0|Research Needed|Low
Isaac D. Van Horn|1826|1899|Research Needed|Low
Isaac Doren Van Horn|0|0|Research Needed|Low
Isaac Jennings|1788|1874|Geneva, Ohio, USA|High
Isaac Morrison|1838|1910|Battle Creek, Michigan, USA|High
Israel Dammon|1815|1895|Research Needed|Low
J. B. Cook|0|0|Research Needed|Low
J. B. Frisbie|1815|1895|Battle Creek, Michigan, USA|High
J. N. Loughborough Jr|0|0|Research Needed|Low
J. P. Kellogg|1838|1917|Battle Creek, Michigan, USA|High
James Edson White|1849|1928|Topeka, Kansas, USA|High
James Nevins Waggoner|1821|1889|Battle Creek, Michigan, USA|High
James R. Scott|1820|1895|Research Needed|Low
James Springer White|1821|1881|Battle Creek, Michigan, USA|High
John Andrews Family|0|0|Research Needed|Low
John Byington|1798|1887|Battle Creek, Michigan, USA|High
John Clark MD|1835|1905|Research Needed|Low
John Harvey Waggoner|1820|1889|Battle Creek, Michigan, USA|High
John Herbert Kellogg|1860|1943|Battle Creek, Michigan, USA|High
John Matteson|1820|1905|Battle Creek, Michigan, USA|High
John W. Lewis|0|0|Research Needed|Low
Joseph Bates Jr|0|0|Research Needed|Low
Joseph Birchard Frisbie|1812|1886|Research Needed|Low
Joseph Clarke|1832|1908|Battle Creek, Michigan, USA|High
Josephine Fay|1855|1927|Battle Creek, Michigan, USA|High
Josiah Litch|1809|1886|Research Needed|Low
Josiah Rice Hart|0|0|Research Needed|Low
Joshua Vaughan Himes|1805|1895|New York City, New York, USA|High
Judson Sylvanus Washburn|0|0|Research Needed|Low
Julius Eggert|1845|1918|Battle Creek, Michigan, USA|High
Juliet Stramel|1835|1910|Battle Creek, Michigan, USA|High
Lemuel G Stiles|0|0|Research Needed|Low
Levi S Stockbridge|0|0|Research Needed|Low
Lewis C. Sheafe|1859|1938|Research Needed|Low
Lorenzo Cramer|1828|1905|Battle Creek, Michigan, USA|High
Lorenzo Dow|1828|1905|Research Needed|Low
Louisa Moore|1838|1912|Battle Creek, Michigan, USA|High
Lucinda Hall|1830|1909|Research Needed|Low
Lucy B White|0|0|Research Needed|Low
Luther Drake|1830|1908|Research Needed|Low
Luther Warren|0|0|Research Needed|Low
Margaret Olesen|1829|1906|Research Needed|Low
Margaret Rankin|1852|1928|Battle Creek, Michigan, USA|High
Maria Poor Cook|1824|1905|Battle Creek, Michigan, USA|High
Martha Amadon|0|0|Research Needed|Low
Martha McKeever|1835|1908|Battle Creek, Michigan, USA|High
Martin Bourdeau|1815|1889|Battle Creek, Michigan, USA|High
Mary Clough|1829|1907|Research Needed|Low
Mary D Polly Nichols|0|0|Research Needed|Low
Mary Haskell|0|0|Research Needed|Low
Mary Louisa Smith|1806|1881|Battle Creek, Michigan, USA|High
Mary Thompson Himes|0|0|Research Needed|Low
May White|0|0|Research Needed|Low
Merritt E Cornell|1827|1893|Battle Creek, Michigan, USA|High
Merritt Kellogg|1843|1927|Battle Creek, Michigan, USA|High
Merritt Waggoner|1840|1918|Battle Creek, Michigan, USA|High
Michal C B Czechowski|1818|1876|Research Needed|Low
Mrs. Albert Belden|0|0|Research Needed|Low
Mrs Elvira Hastings|0|0|Research Needed|Low
Mrs Stockbridge Howland|0|0|Research Needed|Low
Mrs William Miller|0|0|Research Needed|Low
N.D. Foss|1835|1908|Battle Creek, Michigan, USA|High
Nathan Whiting|0|0|Research Needed|Low
Ole Olsen|1845|1915|Battle Creek, Michigan, USA|High
Olive Maria Rice|0|0|Research Needed|Low
Otis Nichols|1807|1887|Research Needed|Low
Owen Russell Loomis Crosier|1820|1913|Battle Creek, Michigan, USA|High
Parker Bailey|1828|1908|Battle Creek, Michigan, USA|High
Percy Tilson Magan|1867|1947|Mountain View, California, USA|High
Priscilla Stowe|1846|1918|Battle Creek, Michigan, USA|High
Prudence Bates|1800|1870|Research Needed|Low
Rachel Oakes Preston|1809|1868|Research Needed|Low
Rebecca Creel|1828|1905|Battle Creek, Michigan, USA|High
Rebekah Smith|0|0|Research Needed|Low
Riley Hooper|1833|1914|Battle Creek, Michigan, USA|High
Robert Hutchinson|0|0|Research Needed|Low
Robert Wieland|1825|1905|Battle Creek, Michigan, USA|High
Robert Winter|0|0|Research Needed|Low
Rosa Spaulding|1832|1907|Battle Creek, Michigan, USA|High
Rufus M Kilgore|1835|1920|Battle Creek, Michigan, USA|High
Samuel Howland|1825|1888|East Wareham, Massachusetts, USA|High
Samuel Sheffield Snow|1806|1890|Research Needed|Low
Samuel W Rhodes|0|0|Research Needed|Low
Sarah A Lindsay|0|0|Research Needed|Low
Sarah Andrews|0|0|Research Needed|Low
Sarah Belden|0|0|Research Needed|Low
Sarepta Myrenda Ireland Henry|1839|1900|Battle Creek, Michigan, USA|High
Shirley Schirmacher|0|0|Research Needed|Low
Sidney Haskell|1845|1925|Research Needed|Low
Silas Hersum|1830|1905|Battle Creek, Michigan, USA|High
Solomon Magan|1843|1924|Battle Creek, Michigan, USA|High
Stephen Bourdeau|1842|1925|Battle Creek, Michigan, USA|High
Susan Richardson Howland|1823|1905|Battle Creek, Michigan, USA|High
Sylvester Bliss|1814|1863|Research Needed|Low
T.M. Steward|1844|1924|Battle Creek, Michigan, USA|High
Thomas H. Gibbs|0|0|Research Needed|Low
Thomas M. Preble|1810|1907|Research Needed|Low
Unnamed Colporteurs|0|0|Research Needed|Low
Uriah Smith|1832|1903|Battle Creek, Michigan, USA|High
Uriah Strieter|1828|1906|Battle Creek, Michigan, USA|High
Washington Morse|1816|1909|Research Needed|Low
William A. Spicer|1865|1952|Mountain View, California, USA|High
William Bracewell|1837|1912|Battle Creek, Michigan, USA|High
William Clarence White|1854|1937|Mountain View, California, USA|High
William Ellis Foy|1818|1893|Research Needed|Low
William Farnsworth|1825|1905|Battle Creek, Michigan, USA|High
William Ings|1835|1912|Battle Creek, Michigan, USA|High
William Miller|1782|1849|Low Hampton, New York, USA|High
William Morse|1822|1879|Battle Creek, Michigan, USA|High
William Ward Simpson|1872|1907|Battle Creek, Michigan, USA|High
William Warren Prescott|1855|1944|Washington, D.C., USA|High
